timestamp_s,accel_vehicle_fwd,accel_vehicle_lat,accel_vehicle_up,gyro_vehicle_yaw,gyro_vehicle_pitch,gyro_vehicle_roll,zupt_flag,maneuver_state,gps_lat,gps_lon,gps_alt,gps_speed_mps,gps_accuracy_m,gps_heading_deg,gps_satellites
0.0,2.1255,2.2785,2.0067,0.0304,0.0822,-0.0016,False,straight,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
0.099,-0.6944,-0.3325,-0.2124,0.0087,0.2246,0.0085,False,straight,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
0.199,-1.0514,-0.0049,-3.6304,0.0131,0.1375,-0.0009,False,straight,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
0.299,-2.4721,-0.7936,-2.4917,-0.0101,-0.2626,0.0001,False,gentle_curve,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
0.4,1.6148,1.9947,-2.3866,0.0035,-0.4718,0.041,False,sharp_turn,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
0.5,2.3144,1.5624,2.1083,0.0272,-0.2842,0.0129,False,sharp_turn,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
0.599,2.5228,3.6338,4.7352,-0.0389,0.1079,-0.0138,False,sharp_turn,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
0.7,1.3533,2.1077,-1.2554,-0.0006,0.4896,0.0064,False,sharp_turn,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
0.8,-2.4097,-0.9868,-0.9517,-0.023,0.2637,0.0523,False,sharp_turn,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
0.899,-1.6308,-0.13,-1.0322,-0.0387,-0.1372,-0.0158,False,straight,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
1.0,0.7702,0.3454,-0.426,0.0043,-0.2205,-0.0198,False,straight,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
1.099,1.7449,0.6558,0.343,-0.0145,-0.0358,0.0196,False,straight,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
1.2,-0.058,-0.3634,0.2358,0.0149,0.0405,-0.0391,False,straight,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
1.299,-0.6113,-0.548,-0.186,0.0089,0.0903,-0.0319,False,straight,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
1.4,-0.2203,-0.0069,0.2538,0.0416,0.0489,0.0074,False,straight,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
1.5,0.0258,-0.0923,0.1489,-0.0058,-0.02,0.0008,False,straight,52.37938,-1.261814,152.82,2.419,3.0,291.5,18
