timestamp_s,estimated_speed_mps,speed_variance,speed_confidence,active_source,zupt_flag,maneuver_state
1.9,0.02,28.733,0.3,physics_fallback,False,straight
2.0,0.0,7.9804,0.3,physics_fallback,False,straight
2.1,0.0,9.7232,0.3,physics_fallback,False,straight
2.2,0.0,9.7751,0.3,physics_fallback,False,straight
2.299,0.02,9.764,0.3,physics_fallback,False,straight
2.4,0.014,8.359,0.3,physics_fallback,False,straight
2.5,0.016,8.3598,0.3,physics_fallback,False,straight
2.6,0.037,6.1179,0.3,physics_fallback,False,straight
2.701,0.027,4.9181,0.3,physics_fallback,False,straight
2.799,0.023,4.5928,0.3,physics_fallback,False,straight
2.9,9.356,2.9732,0.465,ml_model,False,straight
3.0,9.856,2.5888,0.482,ml_model,False,straight
3.1,9.356,0.005,0.99,ml_model,True,stationary
3.201,8.856,0.005,0.99,ml_model,True,stationary
3.3,8.356,0.005,0.99,ml_model,True,stationary
3.401,7.856,0.005,0.99,ml_model,True,stationary
3.5,7.356,0.005,0.99,ml_model,True,stationary
3.6,6.856,0.005,0.99,ml_model,True,stationary
3.699,6.356,0.005,0.99,ml_model,True,stationary
3.8,5.856,0.005,0.99,ml_model,True,stationary
3.901,5.356,0.005,0.99,ml_model,True,stationary
4.0,4.856,0.005,0.99,ml_model,True,stationary
4.1,4.356,0.005,0.99,ml_model,True,stationary
4.2,3.856,0.005,0.99,ml_model,True,stationary
4.3,3.356,0.005,0.99,ml_model,True,stationary
4.4,2.856,0.005,0.99,ml_model,True,stationary
4.499,2.356,0.005,0.99,ml_model,True,stationary
4.6,1.856,0.005,0.99,ml_model,True,stationary
4.7,1.356,0.005,0.99,ml_model,True,stationary
4.8,0.856,0.005,0.99,ml_model,True,stationary
4.9,0.356,0.005,0.99,ml_model,True,stationary
5.001,0.0,0.005,0.99,ml_model,True,stationary
5.1,0.0,0.005,0.99,ml_model,True,stationary
5.2,0.0,0.005,0.99,ml_model,True,stationary
5.3,0.0,0.005,0.99,ml_model,True,stationary
5.4,0.0,0.005,0.99,ml_model,True,stationary
5.5,0.0,0.005,0.99,ml_model,True,stationary
5.6,0.0,0.005,0.99,ml_model,True,stationary
5.7,0.0,0.005,0.99,ml_model,True,stationary
5.8,0.0,0.005,0.99,ml_model,True,stationary
5.9,0.0,0.005,0.99,ml_model,True,stationary
6.001,0.0,0.005,0.99,ml_model,True,stationary
6.1,0.0,0.005,0.99,ml_model,True,stationary
6.2,0.0,0.005,0.99,ml_model,True,stationary
6.3,0.0,0.005,0.99,ml_model,True,stationary
6.4,0.0,0.005,0.99,ml_model,True,stationary
6.5,0.0,0.005,0.99,ml_model,True,stationary
6.6,0.0,0.005,0.99,ml_model,True,stationary
6.7,0.002,0.0,0.998,ml_model,False,straight
6.8,0.002,0.0,0.998,ml_model,False,straight
6.9,0.0,0.005,0.99,ml_model,True,stationary
7.0,0.0,0.005,0.99,ml_model,True,stationary
7.1,0.0,0.005,0.99,ml_model,True,stationary
7.199,0.073,0.0332,0.892,ml_model,False,straight
7.3,0.063,0.0309,0.895,ml_model,False,straight
7.399,0.041,0.0155,0.923,ml_model,False,straight
7.5,0.046,0.0161,0.922,ml_model,False,straight
7.6,0.051,0.0201,0.914,ml_model,False,straight
7.7,0.053,0.0203,0.913,ml_model,False,straight
7.8,0.193,0.1202,0.812,ml_model,False,straight
7.9,0.021,0.0019,0.972,ml_model,False,straight
8.0,0.031,0.0035,0.962,ml_model,False,straight
8.1,0.05,0.0188,0.916,ml_model,False,straight
8.201,0.125,0.0623,0.857,ml_model,False,straight
8.301,0.094,0.0376,0.885,ml_model,False,straight
8.401,0.164,0.1042,0.823,ml_model,False,straight
8.5,0.274,0.1287,0.807,ml_model,False,straight
8.601,0.423,0.4553,0.69,ml_model,False,straight
8.701,0.923,1.364,0.562,ml_model,False,straight
8.8,1.166,1.24,0.574,ml_model,False,gentle_curve
8.9,0.832,0.5406,0.671,ml_model,False,gentle_curve
9.0,0.846,0.3158,0.727,ml_model,False,gentle_curve
9.1,0.702,0.1654,0.787,ml_model,False,gentle_curve
9.2,0.716,0.1808,0.779,ml_model,False,gentle_curve
9.301,0.676,0.1284,0.807,ml_model,False,gentle_curve
9.4,0.668,0.1251,0.809,ml_model,False,gentle_curve
9.5,0.685,0.1225,0.811,ml_model,False,gentle_curve
9.6,0.696,0.1253,0.809,ml_model,False,gentle_curve
9.7,0.681,0.1024,0.824,ml_model,False,gentle_curve
9.8,0.877,0.1821,0.779,ml_model,False,gentle_curve
9.9,0.685,0.0998,0.826,ml_model,False,gentle_curve
10.001,0.682,0.096,0.829,ml_model,False,gentle_curve
