timestamp_s,estimated_speed_mps,speed_variance,speed_confidence,active_source,zupt_flag,maneuver_state
1.899,0.0,5.6065,0.3,physics_fallback,False,straight
1.999,0.0,5.3146,0.3,physics_fallback,False,straight
2.1,0.0,5.1879,0.3,physics_fallback,False,straight
2.2,0.0,5.7252,0.3,physics_fallback,False,straight
2.3,0.0,6.4858,0.3,physics_fallback,False,straight
2.4,0.0,6.9134,0.3,physics_fallback,False,straight
2.499,0.0,8.4029,0.3,physics_fallback,False,straight
2.599,0.0,4.4825,0.3,physics_fallback,False,straight
2.7,0.0,11.1766,0.3,physics_fallback,False,straight
2.8,0.0,4.7653,0.3,physics_fallback,False,straight
2.899,0.0,10.2042,0.3,physics_fallback,False,straight
2.999,0.0,5.0953,0.3,physics_fallback,False,straight
3.1,0.0,5.9577,0.3,physics_fallback,False,straight
3.199,0.0,6.3075,0.3,physics_fallback,False,straight
3.3,0.0,5.8027,0.3,physics_fallback,False,straight
3.4,0.0,5.8286,0.3,physics_fallback,False,straight
3.5,0.0,4.8415,0.3,physics_fallback,False,straight
3.6,0.0,4.7746,0.3,physics_fallback,False,straight
3.699,0.0,6.4775,0.3,physics_fallback,False,straight
3.8,0.0,9.7341,0.3,physics_fallback,False,straight
3.9,0.0,9.1028,0.3,physics_fallback,False,straight
4.0,0.0,16.5027,0.3,physics_fallback,False,straight
4.1,0.0,15.4611,0.3,physics_fallback,False,straight
4.199,0.013,16.0045,0.3,physics_fallback,False,straight
4.299,0.032,15.075,0.3,physics_fallback,False,straight
4.403,0.0,8.9411,0.3,physics_fallback,False,straight
4.5,6.38,2.4119,0.491,ml_model,False,straight
4.6,6.88,3.1797,0.457,ml_model,False,straight
4.7,6.84,8.0703,0.3,physics_fallback,False,straight
4.799,6.782,9.9693,0.3,physics_fallback,False,straight
4.9,6.754,11.8058,0.3,physics_fallback,False,straight
4.999,6.724,12.3358,0.3,physics_fallback,False,straight
5.1,6.701,12.3152,0.3,physics_fallback,False,straight
5.199,6.696,12.0149,0.3,physics_fallback,False,straight
5.3,6.65,13.2677,0.3,physics_fallback,False,straight
5.4,6.606,13.0485,0.3,physics_fallback,False,straight
5.5,6.581,16.1626,0.3,physics_fallback,False,straight
5.599,6.555,13.5048,0.3,physics_fallback,False,straight
5.7,6.491,13.1812,0.3,physics_fallback,False,straight
5.8,6.514,13.0327,0.3,physics_fallback,False,straight
5.9,6.517,11.8994,0.3,physics_fallback,False,straight
5.999,6.5,13.3643,0.3,physics_fallback,False,straight
6.099,6.477,13.8012,0.3,physics_fallback,False,straight
6.2,6.455,13.9481,0.3,physics_fallback,False,straight
6.3,6.454,11.5169,0.3,physics_fallback,False,straight
6.399,6.479,13.7861,0.3,physics_fallback,False,straight
6.499,4.123,0.005,0.99,ml_model,True,stationary
6.6,3.623,0.005,0.99,ml_model,True,stationary
6.7,3.123,0.005,0.99,ml_model,True,stationary
