timestamp_s,estimated_speed_mps,speed_variance,speed_confidence,active_source,zupt_flag,maneuver_state
1.9,10.02,0.7295,0.637,ml_model,False,gentle_curve
1.999,9.999,0.7295,0.637,ml_model,False,gentle_curve
2.099,9.8,0.8119,0.625,ml_model,False,gentle_curve
2.2,9.747,1.0111,0.599,ml_model,False,gentle_curve
2.299,9.466,1.6496,0.539,ml_model,False,gentle_curve
2.399,9.332,4.2132,0.3,physics_fallback,False,gentle_curve
2.499,8.466,3.9311,0.431,ml_model,False,straight
2.6,8.155,3.5799,0.442,ml_model,False,straight
2.699,8.16,3.8012,0.435,ml_model,False,straight
2.8,8.067,5.0638,0.3,physics_fallback,False,gentle_curve
2.9,7.919,4.0478,0.3,physics_fallback,False,gentle_curve
2.999,7.814,4.0339,0.3,physics_fallback,False,gentle_curve
3.1,7.706,5.5541,0.3,physics_fallback,False,gentle_curve
3.2,7.595,4.4199,0.3,physics_fallback,False,straight
3.3,7.412,6.2742,0.3,physics_fallback,False,straight
3.4,7.283,4.7023,0.3,physics_fallback,False,straight
3.499,5.896,2.6545,0.479,ml_model,False,straight
3.6,5.396,2.7464,0.475,ml_model,False,gentle_curve
3.7,5.007,3.2887,0.453,ml_model,False,gentle_curve
3.799,4.507,2.6229,0.481,ml_model,False,gentle_curve
3.899,4.007,2.0862,0.509,ml_model,False,gentle_curve
4.0,3.556,1.8828,0.522,ml_model,False,gentle_curve
4.1,3.103,1.4974,0.551,ml_model,False,gentle_curve
4.199,2.969,1.3695,0.562,ml_model,False,gentle_curve
4.299,3.205,2.6403,0.48,ml_model,False,gentle_curve
4.4,2.705,0.7661,0.632,ml_model,False,gentle_curve
4.5,2.392,1.2669,0.571,ml_model,False,gentle_curve
4.599,2.14,0.7277,0.637,ml_model,False,straight
4.7,2.1,0.9448,0.607,ml_model,False,straight
4.799,2.115,0.8968,0.613,ml_model,False,straight
4.899,1.878,1.0357,0.596,ml_model,False,straight
5.0,1.814,1.0242,0.597,ml_model,False,straight
5.099,1.667,0.4803,0.684,ml_model,False,straight
5.199,1.167,0.005,0.99,ml_model,True,stationary
5.3,1.239,0.6312,0.654,ml_model,False,straight
5.4,1.089,0.4777,0.685,ml_model,False,straight
5.5,1.059,0.6605,0.649,ml_model,False,straight
5.6,0.97,0.4651,0.687,ml_model,False,straight
5.7,0.47,0.005,0.99,ml_model,True,stationary
5.799,0.0,0.005,0.99,ml_model,False,stationary
5.899,0.0,0.005,0.99,ml_model,True,stationary
5.999,0.475,0.061,0.859,ml_model,False,straight
6.1,0.462,0.0466,0.874,ml_model,False,straight
6.199,0.434,0.0464,0.874,ml_model,False,straight
6.301,0.443,0.1164,0.815,ml_model,False,straight
6.399,0.444,0.1221,0.811,ml_model,False,straight
6.499,0.334,0.0646,0.855,ml_model,False,straight
6.599,0.342,0.0689,0.851,ml_model,False,straight
6.7,0.0,0.005,0.99,ml_model,True,stationary
6.799,0.0,0.005,0.99,ml_model,True,stationary
6.899,0.0,0.005,0.99,ml_model,True,stationary
7.0,0.0,0.005,0.99,ml_model,True,stationary
7.099,0.262,0.0389,0.884,ml_model,False,straight
7.199,0.223,0.0279,0.9,ml_model,False,straight
7.299,0.21,0.0185,0.917,ml_model,False,straight
7.4,0.084,0.0061,0.951,ml_model,False,straight
7.499,0.202,0.0301,0.896,ml_model,False,straight
7.599,0.202,0.0261,0.903,ml_model,False,straight
7.699,0.202,0.026,0.903,ml_model,False,straight
7.799,0.162,0.0096,0.939,ml_model,False,straight
7.9,0.16,0.009,0.94,ml_model,False,straight
8.0,0.0,0.005,0.99,ml_model,True,stationary
8.099,0.0,0.005,0.99,ml_model,False,stationary
8.2,0.0,0.005,0.99,ml_model,True,stationary
8.3,0.0,0.005,0.99,ml_model,True,stationary
8.399,0.0,0.005,0.99,ml_model,True,stationary
8.499,0.313,0.0519,0.868,ml_model,False,straight
8.6,0.309,0.0488,0.872,ml_model,False,straight
8.699,0.303,0.0544,0.865,ml_model,False,straight
8.799,0.33,0.0653,0.854,ml_model,False,straight
8.901,0.25,0.0498,0.871,ml_model,False,straight
9.0,0.299,0.0549,0.865,ml_model,False,straight
9.1,0.265,0.0608,0.859,ml_model,False,straight
9.2,0.233,0.0583,0.861,ml_model,False,straight
9.299,0.202,0.1173,0.814,ml_model,False,straight
9.4,0.21,0.1184,0.813,ml_model,False,straight
9.505,0.191,0.1106,0.818,ml_model,False,straight
9.6,0.265,0.1628,0.788,ml_model,False,straight
9.699,0.203,0.0716,0.849,ml_model,False,straight
9.8,0.193,0.0528,0.867,ml_model,False,straight
9.899,0.217,0.0553,0.865,ml_model,False,straight
9.999,0.196,0.0603,0.859,ml_model,False,straight
10.1,0.189,0.0467,0.874,ml_model,False,straight
10.202,0.248,0.111,0.818,ml_model,False,straight
10.299,0.445,0.2947,0.734,ml_model,False,straight
10.399,0.528,0.4079,0.701,ml_model,False,straight
10.5,0.477,0.3644,0.713,ml_model,False,straight
10.599,0.0,0.005,0.99,ml_model,True,stationary
10.7,0.0,0.005,0.99,ml_model,True,stationary
10.799,0.0,0.005,0.99,ml_model,True,stationary
10.899,0.0,0.005,0.99,ml_model,True,stationary
10.999,0.0,0.005,0.99,ml_model,True,stationary
11.1,0.0,0.005,0.99,ml_model,True,stationary
11.199,0.0,0.005,0.99,ml_model,True,stationary
11.3,0.0,0.005,0.99,ml_model,True,stationary
