name,depth,leaf,feat,trees,tr_mae,s2_mae,gap,s2_urban,s3c_mae,s1_mae,m_mae
Baseline (Unregularized Depth 18),18,2,1.0,100,1.0618245324409048,4.1774857898332005,3.1156612573922957,3.0872190503062176,6.117932464832545,1.135328373732204,1.0259489548928182
Original Baseline (Depth 14),14,4,1.0,100,1.6268425874321089,4.176836546415284,2.5499939589831753,3.0713180332135375,6.100963756506269,1.67487800224305,1.6033975780444374
Turn-9 Regularized (Aggressive),12,8,sqrt,100,2.0578649218278384,4.165624813320132,2.107759891492294,3.009587494411513,5.960272064954532,2.094212602834411,2.04012443336171
Sweep: Depth 12 / Leaf 4,12,4,sqrt,100,2.0411246543473656,4.159490300481035,2.118365646133669,3.0061878636092514,5.916074316759656,2.072557572785434,2.025782951340055
Sweep: Depth 14 / Leaf 4 / sqrt,14,4,sqrt,100,1.7966883305369394,4.158566428529474,2.361878097992534,3.0188708745572144,5.944717492422929,1.827496888163485,1.7816513640484049
Sweep: Depth 14 / Leaf 6 / sqrt,14,6,sqrt,100,1.8208333617798085,4.157879523857924,2.3370461620781153,3.0119145707206787,5.9575796034467725,1.8627673571710122,1.8003663184643957
Sweep: Depth 16 / Leaf 2 / sqrt,16,2,sqrt,100,1.5129178057388308,4.149957981809571,2.63704017607074,3.0171855407147423,5.965665478708751,1.5490221456584305,1.4952960866034337
Sweep: Depth 16 / Leaf 4 / sqrt,16,4,sqrt,100,1.5405243414995857,4.152785218622155,2.6122608771225693,3.020187362167609,6.018555142971835,1.572714025820291,1.5248132780257835
Sweep: Depth 16 / Leaf 6 / sqrt,16,6,sqrt,100,1.588746039893785,4.148060765098173,2.5593147252043886,3.0180574332971943,5.957783355488674,1.6332209796964376,1.5670388185594162
Sweep: Depth 16 / Leaf 8 / sqrt,16,8,sqrt,100,1.6231850283487386,4.1524506377847485,2.5292656094360098,3.0219911051251356,6.016870712486795,1.6744495138707163,1.5981639819177382
Sweep: Depth 18 / Leaf 4 / sqrt,18,4,sqrt,100,1.3135074270491145,4.151183878646539,2.8376764515974244,3.0297655444184644,5.977039947736393,1.3596883395253654,1.2909675586874423
Sweep: Depth 20 / Leaf 4 / sqrt,20,4,sqrt,100,1.1105652923971052,4.154783912580335,3.04421862018323,3.031569722627144,5.986706658937517,1.1614194021467497,1.0857445411831383
Sweep: Depth 16 / Leaf 4 / feat=0.6,16,4,0.6,100,1.392474542102126,4.155746500494589,2.7632719583924628,3.0475595557995705,6.018381401216134,1.444589422024607,1.3670384372234887
Sweep: Depth 16 / Leaf 4 / feat=0.8,16,4,0.8,100,1.3651459781144029,4.163707541759237,2.798561563644834,3.0601388935561222,6.097063219718158,1.4190653776724145,1.3388291276450017
Sweep: Depth 18 / Leaf 4 / feat=0.6,18,4,0.6,100,1.1463780063776634,4.1610470544927045,3.0146690481150413,3.059377230944075,6.0608966829451125,1.2075441712395327,1.1165241721797388
Sweep: Depth 18 / Leaf 4 / feat=0.8,18,4,0.8,100,1.122820527479287,4.164398331455063,3.041577803975776,3.0714412335969286,6.108668315854887,1.18725962041321,1.0913692504430628
Sweep: Depth 16 / Leaf 4 / sqrt / 150t,16,4,sqrt,150,1.5415104667998394,4.152747009172454,2.6112365423726143,3.0193099826681347,6.00024871041912,1.5751925748536904,1.5250709847504573
Sweep: Depth 18 / Leaf 4 / sqrt / 150t,18,4,sqrt,150,1.309717869337563,4.149999220661873,2.84028135132431,3.0275552337320364,5.9637268806738675,1.3546333546431155,1.2877956276168432
Overfit Extremum: Depth 22 / Leaf 2,22,2,1.0,100,0.6848671244897334,4.180026160156241,3.4951590356665077,3.096671996103128,6.105015181441264,0.7573877244814214,0.6494714449833411
