timestamp_s,accel_vehicle_fwd,accel_vehicle_lat,accel_vehicle_up,gyro_vehicle_yaw,gyro_vehicle_pitch,gyro_vehicle_roll,zupt_flag,maneuver_state,gps_lat,gps_lon,gps_alt,gps_speed_mps,gps_accuracy_m,gps_heading_deg,gps_satellites
0.0,-0.6808,-0.689,0.1599,-0.1089,-0.0045,-0.0368,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.1,0.7079,-1.1749,0.1151,-0.1285,0.0214,-0.0056,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.2,1.4184,-1.5014,0.2266,-0.1373,-0.0368,0.0092,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.3,1.1522,-1.0875,0.4624,-0.1226,-0.0183,-0.0184,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.401,0.0831,0.0716,0.102,-0.0649,-0.001,-0.0627,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.5,1.0096,0.006,0.4059,-0.0781,0.0512,-0.054,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.6,0.3526,0.6622,0.0953,-0.0156,0.0156,-0.0292,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.7,0.2643,-0.499,-0.0773,-0.0319,-0.0316,-0.0417,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.8,0.5978,0.0536,0.1829,0.0814,-0.0318,-0.1118,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.9,-0.0137,0.0398,0.4592,0.0124,0.0235,-0.0468,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.001,-0.4649,0.3851,-0.5986,0.1046,-0.0109,-0.1181,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.1,-1.6899,2.4553,0.0722,0.251,-0.0086,-0.1865,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.2,-0.7131,1.7478,0.1597,0.1332,0.018,-0.1305,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.301,0.6391,-0.8311,-0.4827,0.0303,-0.124,-0.0866,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.4,0.1884,-0.3679,0.0033,0.1073,0.0336,-0.1793,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.5,-1.6468,4.1637,0.1583,0.1,-0.0552,0.1424,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.6,0.2429,0.7518,0.5343,0.1104,0.059,0.0813,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.7,-0.2823,-0.3546,0.7782,0.22,0.0324,0.0209,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.8,-0.3553,0.45,0.1001,0.0591,-0.127,0.1143,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.9,-0.6455,-1.3203,0.2483,-0.0024,-0.1578,0.0608,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
2.0,-0.3042,-1.0326,0.343,0.0099,0.1559,-0.0249,False,straight,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
2.101,1.0431,-0.1325,0.1391,0.0036,0.1456,-0.0002,False,straight,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
2.2,-0.3083,-0.9595,0.5347,0.0159,-0.16,-0.031,False,straight,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
2.3,-0.3565,-0.104,-0.2306,0.0238,-0.0454,-0.0416,False,straight,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
2.4,-0.2994,-0.7384,0.0824,-0.0024,0.0572,-0.0386,False,straight,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
2.5,-0.1154,-0.0824,0.0691,-0.0326,0.1072,0.0122,False,straight,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
2.6,-0.0278,0.6707,0.5099,0.0534,-0.0545,-0.0298,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
2.7,1.0596,-0.2535,0.3354,-0.0787,-0.0636,0.0514,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
2.8,0.3896,-2.1051,0.6642,-0.1226,0.0872,0.0479,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
2.9,0.6717,-0.449,0.7226,-0.0692,0.0779,0.0006,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
3.0,0.712,-1.1358,0.4032,-0.0386,0.0171,-0.0188,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
3.1,0.3278,-1.0237,0.774,-0.1272,0.0102,0.0745,False,gentle_curve,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
3.2,-0.443,-1.667,0.3601,-0.1134,0.0597,0.0704,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
3.3,0.8213,-1.9313,0.7724,-0.1245,0.0823,0.0223,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
3.4,-0.0552,-1.9145,0.2757,-0.1266,-0.0123,-0.0102,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
3.5,0.5369,-1.3074,0.3447,-0.1357,-0.0035,0.0235,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
3.6,-0.3229,-2.4392,0.0637,-0.1669,0.1176,0.0629,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
3.7,-0.317,-2.2572,0.3514,-0.1672,0.0234,0.0144,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
3.8,-1.2717,-1.6476,0.6575,-0.197,0.0062,0.019,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
3.901,-0.0118,-2.3373,0.3616,-0.2053,0.0658,0.0048,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
4.001,0.0362,-2.1896,0.1475,-0.2,0.0785,0.0241,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
4.1,0.1759,-0.9984,0.0934,-0.1646,0.0574,0.0279,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
4.2,0.0852,-0.9195,-0.399,-0.206,-0.0656,0.0889,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
4.301,-0.2483,-2.3781,-0.324,-0.1661,-0.0655,0.0644,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
4.4,0.3091,-2.2253,-0.71,-0.1262,-0.0271,-0.0074,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
4.5,0.773,-2.4926,-0.3254,-0.1652,-0.0301,0.0223,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
4.6,0.1745,-1.5775,0.0424,-0.1666,-0.028,0.0411,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
4.7,-0.3498,-1.748,-0.2025,-0.1288,0.0176,-0.0162,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
4.8,0.3314,-1.8143,-0.2473,-0.1778,0.0056,0.0278,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
4.9,-0.9087,-1.6261,-0.1445,-0.1071,-0.0359,0.026,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
5.0,-0.0618,-1.6672,-0.3297,-0.1468,-0.1128,0.0604,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
5.101,-0.0448,-2.3718,0.1269,-0.1071,0.1293,-0.0128,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
5.2,-0.417,-0.4819,0.0579,-0.0924,0.0391,0.0074,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
5.3,0.0072,-0.7723,-0.1062,-0.0927,-0.1033,-0.0568,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
5.4,-0.0399,-0.7975,-0.2044,-0.1558,-0.0866,-0.0025,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
5.5,0.0708,-1.3393,-0.2154,-0.1736,0.0631,-0.0027,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
5.6,-0.9884,-1.6956,-0.3159,-0.1294,0.0046,-0.008,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
5.7,-0.9064,-1.3822,-0.0788,-0.1343,-0.0079,0.0268,False,sharp_turn,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
