timestamp_s,accel_vehicle_fwd,accel_vehicle_lat,accel_vehicle_up,gyro_vehicle_yaw,gyro_vehicle_pitch,gyro_vehicle_roll,zupt_flag,maneuver_state,gps_lat,gps_lon,gps_alt,gps_speed_mps,gps_accuracy_m,gps_heading_deg,gps_satellites
0.0,-0.997,1.1767,0.0272,-0.0607,0.0187,-0.0069,False,gentle_curve,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
0.1,0.6576,-0.1539,0.4566,-0.0595,-0.0116,-0.0168,False,gentle_curve,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
0.199,-0.4811,0.5352,-0.0727,-0.0524,-0.0143,0.0234,False,gentle_curve,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
0.299,1.0071,0.1386,-0.032,-0.0646,0.0266,0.0316,False,gentle_curve,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
0.4,0.4239,0.5435,-0.1699,-0.0267,-0.0198,-0.0104,False,straight,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
0.499,0.0075,0.5112,0.1774,-0.0595,0.0631,0.0113,False,straight,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
0.6,-0.1041,0.7718,-0.0002,-0.0116,0.0105,-0.0019,False,straight,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
0.7,-0.7959,1.113,-0.1364,0.0044,-0.0657,-0.0377,False,straight,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
0.8,-0.6483,0.254,-0.1162,0.0374,-0.0288,-0.024,False,straight,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
0.899,-0.6433,1.1849,0.1718,0.0384,-0.114,-0.0364,False,straight,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
1.0,-0.9084,0.3036,0.0665,0.0217,-0.1402,-0.0265,False,straight,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
1.099,-2.2243,1.7639,1.4969,0.0058,0.0668,-0.0597,False,straight,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
1.199,0.0286,0.8057,0.0417,-0.0013,0.0928,-0.0238,False,gentle_curve,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
1.299,0.0498,1.3192,0.2344,-0.0317,-0.0164,0.0413,False,sharp_turn,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
1.399,-0.7381,0.3482,-0.4369,0.0798,-0.1155,-0.0472,False,sharp_turn,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
1.5,-0.0301,3.0408,-0.1289,-0.05,-0.0154,0.105,False,sharp_turn,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
1.599,-0.52,1.7038,0.4424,0.1389,0.019,-0.0674,False,sharp_turn,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
1.7,-1.3324,1.0269,0.1837,0.0323,-0.0168,-0.0643,False,sharp_turn,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
1.799,-1.3453,1.04,-0.2115,0.1052,0.0332,-0.0976,False,gentle_curve,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
1.9,-0.6973,0.9232,-0.4207,0.0533,-0.0296,-0.0057,False,gentle_curve,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
1.999,-0.8558,0.9809,0.1525,0.0553,0.0364,0.0163,False,gentle_curve,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
2.099,-1.1036,1.2423,0.0114,0.0673,-0.0488,-0.0112,False,gentle_curve,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
2.2,-0.6917,1.1219,-0.0537,0.041,-0.0655,-0.0135,False,gentle_curve,52.40166,-1.50529,147.5,1.547,3.0,241.65,27
