timestamp_s,accel_vehicle_fwd,accel_vehicle_lat,accel_vehicle_up,gyro_vehicle_yaw,gyro_vehicle_pitch,gyro_vehicle_roll,zupt_flag,maneuver_state,gps_lat,gps_lon,gps_alt,gps_speed_mps,gps_accuracy_m,gps_heading_deg,gps_satellites
0.0,2.6847,-0.5842,0.761,-0.237,-0.025,0.017,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.1,-5.7472,6.0215,-0.8088,-0.5287,-0.0261,0.0178,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.201,-0.6922,0.337,-0.3391,0.2108,0.134,-0.0912,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.3,-4.2587,5.3195,-1.9985,-0.2188,-0.0809,0.0551,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.4,-0.536,1.4468,-0.1202,0.422,0.0336,-0.0229,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.501,-1.0212,2.1597,0.0143,0.2864,0.049,-0.0334,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.6,-0.7597,6.3636,-2.1049,0.1121,-0.0479,0.0326,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.7,2.2861,-0.7193,1.2436,0.3319,0.1906,-0.1297,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.8,-3.014,7.2042,-1.817,-0.3496,-0.0276,0.0188,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.901,-0.9359,-3.5779,0.3197,0.1479,0.0855,-0.0582,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.001,4.4234,-4.0502,1.1174,-0.5959,-0.0544,0.037,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.1,-4.7297,4.4567,-1.7031,-0.0747,-0.1638,0.1114,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.2,-1.296,-0.9657,0.5783,-0.223,-0.1563,0.1064,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.3,1.8147,-2.7444,1.0003,-0.3244,-0.1652,0.1124,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.4,1.8686,-2.2402,0.8639,-0.0411,-0.1422,0.0967,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.5,1.1849,-0.2873,0.1317,0.081,0.1988,-0.1352,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.601,2.366,-3.7383,1.3664,0.2344,0.2402,-0.1634,False,gentle_curve,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.7,-0.2241,-0.8857,-0.1956,-0.0729,0.0412,-0.028,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.801,-2.2748,1.3101,-0.6103,0.1685,-0.0185,0.0125,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.901,0.7306,-0.7527,0.5605,0.1645,0.0008,-0.0006,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
2.0,-1.3855,2.0343,-0.6239,-0.1356,-0.0498,0.0339,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
2.1,0.9691,0.7061,1.0251,-0.0349,0.1076,-0.0732,False,sharp_turn,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
