timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gravity_x,gravity_y,gravity_z,gps_lat,gps_lon,gps_alt,gps_speed_mps,gps_accuracy_m,gps_heading_deg,gps_satellites
0.0,-0.9684,-0.0227,9.9665,-0.0045,-0.1089,-0.0368,-32.06,-30.37,5.0,0.0089,-0.0009,9.8066,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.1,-0.3069,-1.3369,9.9218,0.0214,-0.1285,-0.0056,-31.75,-30.19,5.38,-0.0087,0.0096,9.8066,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.2,-0.0226,-2.0653,10.0332,-0.0368,-0.1373,0.0092,-31.56,-29.94,6.31,0.021,0.0054,9.8066,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.3,0.0734,-1.5827,10.269,-0.0183,-0.1226,-0.0184,-32.12,-30.5,5.94,-0.0013,0.0182,9.8065,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.401,0.1095,-0.0062,9.9086,-0.001,-0.0649,-0.0627,-32.25,-29.56,5.81,0.0059,0.0273,9.8065,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.5,0.7304,-0.697,10.2125,0.0512,-0.0781,-0.054,-31.37,-30.25,6.69,0.0062,0.0301,9.8066,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.6,0.7136,0.2314,9.9019,0.0156,-0.0156,-0.0292,-31.37,-30.62,5.88,-0.0004,0.0212,9.8066,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.7,-0.1565,-0.5425,9.7293,-0.0316,-0.0319,-0.0417,-30.87,-29.75,6.0,0.0003,0.0193,9.8066,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.8,0.4673,-0.3767,9.9896,-0.0318,0.0814,-0.1118,-30.56,-30.62,5.94,0.0062,0.022,9.8066,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
0.9,0.0178,0.0381,10.2658,0.0235,0.0124,-0.0468,-30.69,-30.37,5.63,0.0072,0.0311,9.8065,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.001,-0.0669,0.6,9.208,-0.0109,0.1046,-0.1181,-30.0,-30.31,5.94,0.0206,0.0282,9.8065,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.1,0.49,2.9401,9.8788,-0.0086,0.251,-0.1865,-30.12,-31.31,6.38,0.0048,0.0538,9.8065,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.2,0.7012,1.7526,9.9663,0.018,0.1332,-0.1305,-29.75,-30.75,5.44,0.0187,0.0034,9.8066,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.301,-0.1176,-1.0418,9.3239,-0.124,0.0303,-0.0866,-29.5,-30.81,6.38,-0.0229,0.0127,9.8066,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.4,-0.12,-0.3955,9.8099,0.0336,0.1073,-0.1793,-29.56,-30.81,5.13,-0.0153,0.0541,9.8064,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.5,1.7077,4.1391,9.9649,-0.0552,0.1,0.1424,-28.81,-30.12,4.56,-0.0142,-0.0504,9.8064,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
1.6,0.697,0.3721,10.341,0.059,0.1104,0.0813,-29.12,-30.62,4.75,-0.0059,-0.0011,9.8066,52.402565,-1.503471,144.59,1.622,4.0,92.89,18
