timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gravity_x,gravity_y,gravity_z,gps_lat,gps_lon,gps_alt,gps_speed_mps,gps_accuracy_m,gps_heading_deg,gps_satellites
0.0,-0.0265,-0.1984,9.7334,-0.018,-0.0225,0.0159,-16.56,-28.62,12.19,0.0056,-0.0024,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,22
0.099,-0.2415,-0.0668,9.8255,-0.0141,-0.0221,0.0162,-16.81,-28.31,12.69,-0.0001,-0.0018,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,22
0.2,-0.0024,-0.3063,9.8669,-0.0027,-0.0292,-0.0095,-16.25,-28.81,12.06,0.0015,0.0005,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,22
0.3,-0.1658,0.0141,9.773,0.0059,0.0021,0.004,-16.37,-28.81,11.94,-0.0034,-0.0045,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,22
0.401,0.2689999999999999,0.1985,9.9055,0.0077,0.0225,-0.024,-16.31,-28.19,12.31,-0.003,-0.002,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,22
0.499,-0.0728,0.0671,9.8346,0.0037,0.0361,-0.0197,-16.06,-28.56,11.94,-0.0024,-0.0038,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,22
0.599,0.1506,0.2706,9.8239,-0.0089,0.0512,-0.0109,-16.62,-28.44,12.13,-0.0019,-0.0013,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,22
0.7,-0.0612,-0.2653,9.8516,0.0012,0.0438,-0.0265,-16.75,-28.75,12.06,0.0002,-0.0034,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,22
0.799,0.1663,0.1369999999999999,9.8445,0.0042,0.0342,-0.0227,-16.31,-28.44,12.19,-0.0036,-0.0035,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,22
0.9,-0.0182,-0.2528,9.9314,-0.0098,0.0291,-0.0049,-16.44,-28.19,12.19,0.001,0.0014,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,22
1.0,-0.0176,0.1351,9.7174,-0.0012,-0.0062,-0.0124,-16.62,-29.12,12.38,-0.0015,-0.0051,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,23
1.1,0.1863,0.0984,9.9335,-0.0102,-0.0025,0.0215,-16.5,-28.19,12.0,0.0045,0.0026,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,23
1.2,0.0695,0.1954,9.8319,0.003,-0.018,0.0071,-16.56,-28.44,12.69,-0.0011,-0.0023,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,23
1.3,0.0049,0.0984,9.8024,0.0043,-0.0261,0.0062,-16.5,-28.5,12.13,0.001,0.0015,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,23
1.4,0.0067,-0.297,9.8772,0.0027,-0.0052,0.0121,-16.56,-28.94,12.06,0.0022,0.0016,9.8066,52.59628299999999,-1.608857,147.72,0.0,6.0,114.12,23
