timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gravity_x,gravity_y,gravity_z,gps_lat,gps_lon,gps_alt,gps_speed_mps,gps_accuracy_m,gps_heading_deg,gps_satellites
0.0,-0.0716,-2.7477,10.5674,-0.0214,-0.0214,-0.237,-20.0,-43.19,31.81,0.0243,0.0632,9.8064,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.1,4.8404,6.7711,8.9985,-0.0223,-0.0223,-0.5287,-20.06,-42.5,30.38,0.0316,0.0107,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.201,0.2017,0.742,9.4676,0.1146,0.1146,0.2108,-20.19,-41.94,30.75,0.0732,0.0839,9.806,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.3,4.4292,5.1777,7.8086,-0.0692,-0.0692,-0.2188,-20.37,-42.75,30.63,-0.0149,-0.0371,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.4,1.3211,0.7961,9.6865,0.0287,0.0287,0.422,-19.31,-42.62,30.44,-0.013,0.0368,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.501,1.9307,1.4061,9.8211,0.0419,0.0419,0.2864,-19.44,-43.0,30.75,-0.0063,0.0533,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.6,6.1093,1.9357,7.7019,-0.041,-0.041,0.1121,-20.12,-43.44,31.38,0.0176,0.0687,9.8064,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.7,-0.2789,-2.3815,11.05,0.163,0.163,0.3319,-19.37,-42.94,30.44,0.0147,0.0984,9.8061,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.8,6.5134,4.3074,7.99,-0.0236,-0.0236,-0.3496,-19.69,-43.75,29.94,-0.022,0.0092,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
0.901,-3.6897,0.2491,10.1264,0.0731,0.0731,0.1479,-19.87,-43.37,30.88,0.0411,0.0868,9.8062,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
