norm,depth,leaf,max_feat,n_est,train_mae,s1_mae,m_mae,s2_val_mae,s2_ml_mae,s2_urban_mae,gap,s3c_val_mae,s3c_ml_mae,s3c_ml_pct
none,None,1,1.0,100,0.313,0.381,0.348,4.147,4.133,3.045,3.834,6.163,6.003,77.4
none,22,2,1.0,100,0.641,0.757,0.649,4.142,4.132,3.035,3.501,6.123,5.987,82.1
none,20,2,1.0,100,0.805,0.924,0.81,4.141,4.133,3.026,3.336,6.141,6.001,82.2
none,18,2,1.0,100,1.021,1.135,1.026,4.14,4.131,3.025,3.119,6.117,6.003,84.5
none,20,2,0.7,100,0.829,0.936,0.841,4.14,4.126,3.016,3.311,6.119,5.977,82.8
none,18,2,0.7,100,1.057,1.163,1.066,4.133,4.126,3.015,3.076,6.14,5.999,83.7
none,18,4,0.7,100,1.092,1.193,1.1,4.136,4.128,3.016,3.044,6.132,6.017,87.4
none,16,2,0.7,100,1.317,1.409,1.328,4.137,4.131,3.011,2.82,6.102,5.998,86.0
none,16,4,0.7,100,1.342,1.431,1.353,4.135,4.128,3.01,2.793,6.055,5.979,89.9
none,16,2,0.5,100,1.342,1.431,1.353,4.138,4.129,3.007,2.797,6.074,5.961,86.2
none,16,4,0.5,100,1.374,1.464,1.384,4.135,4.127,3.006,2.76,6.029,5.946,89.5
none,18,2,0.5,100,1.081,1.182,1.093,4.139,4.127,3.01,3.057,6.038,5.913,84.7
none,18,4,0.5,100,1.12,1.221,1.129,4.139,4.131,3.016,3.019,6.062,5.951,87.7
none,20,2,sqrt,100,0.976,1.061,0.996,4.137,4.124,3.005,3.161,6.003,5.853,79.5
none,18,2,sqrt,100,1.207,1.288,1.226,4.139,4.128,2.995,2.931,6.042,5.901,80.7
none,18,4,sqrt,100,1.277,1.36,1.291,4.135,4.127,2.998,2.858,5.977,5.875,85.3
none,16,2,sqrt,100,1.477,1.549,1.495,4.132,4.127,2.984,2.655,5.982,5.859,83.8
none,16,4,sqrt,100,1.507,1.573,1.525,4.137,4.131,2.992,2.63,5.99,5.917,87.5
none,14,4,sqrt,100,1.767,1.827,1.782,4.141,4.137,2.991,2.373,5.878,5.842,91.3
none,14,2,1.0,100,1.584,1.663,1.594,4.138,4.134,3.012,2.554,6.059,5.989,89.8
none,14,4,1.0,100,1.595,1.675,1.603,4.139,4.135,3.013,2.544,6.041,5.986,91.7
none,12,8,1.0,100,1.897,1.963,1.901,4.138,4.137,2.997,2.241,5.985,5.962,95.6
roll60s_both,None,1,1.0,100,0.277,0.347,0.31,4.001,3.98,2.982,3.724,5.76,5.647,79.2
roll60s_both,22,2,1.0,100,0.544,0.687,0.539,3.996,3.985,2.973,3.452,5.735,5.657,83.6
roll60s_both,20,2,1.0,100,0.684,0.842,0.671,3.999,3.984,2.969,3.315,5.72,5.655,84.2
roll60s_both,18,2,1.0,100,0.884,1.049,0.865,3.996,3.984,2.963,3.112,5.698,5.648,86.1
roll60s_both,20,2,0.7,100,0.698,0.853,0.686,3.99,3.977,2.956,3.292,5.737,5.66,83.2
roll60s_both,18,2,0.7,100,0.901,1.06,0.884,3.989,3.979,2.947,3.088,5.738,5.67,83.3
roll60s_both,18,4,0.7,100,0.937,1.1,0.917,3.989,3.98,2.946,3.052,5.705,5.666,88.4
roll60s_both,16,2,0.7,100,1.155,1.309,1.137,3.982,3.973,2.935,2.827,5.717,5.661,86.5
roll60s_both,16,4,0.7,100,1.184,1.337,1.164,3.985,3.98,2.938,2.801,5.657,5.632,89.9
roll60s_both,16,2,0.5,100,1.187,1.339,1.17,3.983,3.973,2.932,2.796,5.658,5.625,87.3
roll60s_both,16,4,0.5,100,1.205,1.361,1.185,3.98,3.974,2.927,2.774,5.666,5.642,89.8
roll60s_both,18,2,0.5,100,0.917,1.073,0.903,3.985,3.977,2.935,3.068,5.732,5.644,82.9
roll60s_both,18,4,0.5,100,0.964,1.119,0.948,3.983,3.975,2.938,3.018,5.664,5.618,88.8
roll60s_both,20,2,sqrt,100,0.834,0.962,0.833,3.993,3.978,2.93,3.159,5.733,5.608,79.0
roll60s_both,18,2,sqrt,100,1.062,1.195,1.056,3.995,3.985,2.924,2.933,5.65,5.56,81.0
roll60s_both,18,4,sqrt,100,1.127,1.266,1.114,3.991,3.985,2.921,2.865,5.617,5.554,86.6
roll60s_both,16,2,sqrt,100,1.33,1.464,1.319,3.986,3.982,2.913,2.656,5.63,5.563,84.7
roll60s_both,16,4,sqrt,100,1.367,1.507,1.35,3.993,3.99,2.92,2.625,5.596,5.554,87.9
roll60s_both,14,4,sqrt,100,1.642,1.765,1.627,3.993,3.991,2.908,2.351,5.517,5.513,92.2
roll60s_both,14,2,1.0,100,1.443,1.591,1.421,3.988,3.984,2.939,2.545,5.677,5.653,92.0
roll60s_both,14,4,1.0,100,1.455,1.603,1.432,3.988,3.985,2.94,2.533,5.673,5.657,93.9
roll60s_both,12,8,1.0,100,1.775,1.903,1.751,3.996,3.994,2.935,2.221,5.644,5.636,97.2
roll20s_both,None,1,1.0,100,0.282,0.344,0.319,3.921,3.911,2.971,3.639,5.584,5.529,82.0
roll20s_both,22,2,1.0,100,0.489,0.581,0.51,3.915,3.913,2.966,3.426,5.583,5.537,86.0
roll20s_both,20,2,1.0,100,0.62,0.722,0.635,3.918,3.915,2.965,3.298,5.576,5.532,87.0
roll20s_both,18,2,1.0,100,0.815,0.927,0.823,3.915,3.915,2.958,3.1,5.574,5.533,88.4
roll20s_both,20,2,0.7,100,0.636,0.733,0.653,3.912,3.906,2.943,3.276,5.529,5.496,84.9
roll20s_both,18,2,0.7,100,0.84,0.945,0.851,3.912,3.911,2.936,3.072,5.521,5.485,86.9
roll20s_both,18,4,0.7,100,0.882,0.989,0.889,3.911,3.909,2.936,3.029,5.505,5.487,89.8
roll20s_both,16,2,0.7,100,1.103,1.209,1.108,3.909,3.909,2.932,2.807,5.491,5.485,88.6
roll20s_both,16,4,0.7,100,1.129,1.238,1.131,3.91,3.907,2.931,2.781,5.48,5.489,91.7
roll20s_both,16,2,0.5,100,1.132,1.227,1.142,3.91,3.908,2.922,2.778,5.479,5.455,88.6
roll20s_both,16,4,0.5,100,1.169,1.275,1.172,3.901,3.9,2.922,2.733,5.493,5.499,91.5
roll20s_both,18,2,0.5,100,0.869,0.969,0.882,3.906,3.902,2.926,3.036,5.505,5.481,85.8
roll20s_both,18,4,0.5,100,0.916,1.016,0.925,3.914,3.908,2.934,2.998,5.497,5.487,89.8
roll20s_both,20,2,sqrt,100,0.809,0.898,0.827,3.914,3.908,2.921,3.104,5.555,5.482,80.9
roll20s_both,18,2,sqrt,100,1.03,1.123,1.043,3.923,3.919,2.919,2.893,5.525,5.47,85.1
roll20s_both,18,4,sqrt,100,1.096,1.193,1.104,3.914,3.909,2.915,2.817,5.529,5.492,88.5
roll20s_both,16,2,sqrt,100,1.294,1.379,1.306,3.92,3.916,2.908,2.626,5.55,5.503,86.3
roll20s_both,16,4,sqrt,100,1.343,1.432,1.35,3.924,3.919,2.914,2.581,5.501,5.494,91.4
roll20s_both,14,4,sqrt,100,1.619,1.704,1.623,3.926,3.924,2.897,2.307,5.462,5.463,93.3
roll20s_both,14,2,1.0,100,1.389,1.499,1.385,3.911,3.914,2.94,2.522,5.521,5.512,92.9
roll20s_both,14,4,1.0,100,1.402,1.512,1.397,3.913,3.915,2.94,2.511,5.517,5.509,94.6
roll20s_both,12,8,1.0,100,1.734,1.837,1.723,3.916,3.92,2.933,2.182,5.485,5.488,97.2
roll60s_amag_only,None,1,1.0,100,0.275,0.347,0.308,3.998,3.976,2.986,3.722,5.784,5.654,77.7
roll60s_amag_only,22,2,1.0,100,0.526,0.667,0.522,3.988,3.975,2.973,3.462,5.744,5.65,82.5
roll60s_amag_only,20,2,1.0,100,0.664,0.82,0.652,3.989,3.976,2.972,3.326,5.728,5.65,83.3
roll60s_amag_only,18,2,1.0,100,0.863,1.027,0.844,3.983,3.973,2.959,3.12,5.722,5.651,84.8
roll60s_amag_only,20,2,0.7,100,0.682,0.836,0.671,3.99,3.974,2.96,3.308,5.729,5.645,82.7
roll60s_amag_only,18,2,0.7,100,0.881,1.044,0.864,3.985,3.978,2.952,3.103,5.713,5.63,84.1
roll60s_amag_only,18,4,0.7,100,0.928,1.087,0.909,3.981,3.974,2.953,3.053,5.726,5.693,88.0
roll60s_amag_only,16,2,0.7,100,1.143,1.299,1.124,3.983,3.972,2.949,2.841,5.751,5.675,86.6
roll60s_amag_only,16,4,0.7,100,1.168,1.326,1.147,3.977,3.97,2.941,2.809,5.712,5.669,89.7
roll60s_amag_only,16,2,0.5,100,1.174,1.33,1.155,3.98,3.971,2.939,2.806,5.743,5.69,86.4
roll60s_amag_only,16,4,0.5,100,1.198,1.352,1.178,3.98,3.969,2.943,2.782,5.682,5.655,90.1
roll60s_amag_only,18,2,0.5,100,0.911,1.072,0.894,3.984,3.971,2.945,3.073,5.738,5.651,84.1
roll60s_amag_only,18,4,0.5,100,0.953,1.109,0.936,3.981,3.975,2.945,3.028,5.721,5.657,87.7
roll60s_amag_only,20,2,sqrt,100,0.836,0.97,0.833,3.995,3.983,2.94,3.158,5.809,5.674,78.7
roll60s_amag_only,18,2,sqrt,100,1.06,1.19,1.054,3.998,3.987,2.932,2.938,5.75,5.63,80.7
roll60s_amag_only,18,4,sqrt,100,1.13,1.266,1.118,3.986,3.979,2.926,2.856,5.738,5.664,86.1
roll60s_amag_only,16,2,sqrt,100,1.339,1.466,1.331,3.998,3.99,2.922,2.659,5.689,5.622,84.9
roll60s_amag_only,16,4,sqrt,100,1.373,1.511,1.357,3.989,3.983,2.925,2.616,5.671,5.624,88.1
roll60s_amag_only,14,4,sqrt,100,1.645,1.76,1.633,4.001,3.996,2.92,2.356,5.717,5.676,90.4
roll60s_amag_only,14,2,1.0,100,1.429,1.583,1.405,3.982,3.977,2.945,2.553,5.685,5.648,90.6
roll60s_amag_only,14,4,1.0,100,1.441,1.595,1.416,3.981,3.979,2.943,2.539,5.683,5.657,93.0
roll60s_amag_only,12,8,1.0,100,1.768,1.905,1.74,3.984,3.984,2.931,2.216,5.64,5.637,96.8
roll20s_amag_only,None,1,1.0,100,0.279,0.342,0.316,3.923,3.915,2.978,3.644,5.625,5.504,81.1
roll20s_amag_only,22,2,1.0,100,0.467,0.556,0.489,3.921,3.916,2.977,3.454,5.582,5.503,85.2
roll20s_amag_only,20,2,1.0,100,0.593,0.692,0.609,3.918,3.916,2.976,3.325,5.581,5.5,85.8
