timestamp_s,estimated_speed_mps,speed_variance,speed_confidence,active_source,zupt_flag,maneuver_state
1.9,8.503,1.886,0.522,ml_model,False,gentle_curve
2.0,8.552,2.6158,0.481,ml_model,False,straight
2.101,8.774,2.6649,0.479,ml_model,False,straight
2.2,9.043,3.232,0.455,ml_model,False,straight
2.3,9.326,2.5774,0.483,ml_model,False,straight
2.4,9.314,1.8233,0.526,ml_model,False,straight
2.5,9.109,1.863,0.524,ml_model,False,straight
2.6,9.315,1.8051,0.528,ml_model,False,gentle_curve
2.7,9.243,2.0958,0.509,ml_model,False,gentle_curve
2.8,9.01,2.147,0.506,ml_model,False,gentle_curve
2.9,9.272,3.0314,0.463,ml_model,False,gentle_curve
3.0,9.115,4.6731,0.41,ml_model,False,gentle_curve
3.1,9.615,4.8398,0.405,ml_model,False,gentle_curve
3.2,9.115,3.5525,0.443,ml_model,False,sharp_turn
3.3,8.615,2.1648,0.505,ml_model,False,sharp_turn
3.4,8.115,1.5958,0.543,ml_model,False,sharp_turn
3.5,8.056,4.9718,0.402,ml_model,False,sharp_turn
3.6,7.556,2.1445,0.506,ml_model,False,sharp_turn
3.7,7.718,3.9292,0.431,ml_model,False,sharp_turn
3.8,7.652,2.94,0.467,ml_model,False,sharp_turn
3.901,7.298,1.1244,0.586,ml_model,False,sharp_turn
4.001,7.396,0.9325,0.608,ml_model,False,sharp_turn
4.1,7.511,1.0351,0.596,ml_model,False,sharp_turn
4.2,7.437,1.8698,0.523,ml_model,False,sharp_turn
4.301,7.512,2.2561,0.5,ml_model,False,sharp_turn
4.4,8.012,6.5253,0.37,ml_model,False,sharp_turn
4.5,8.332,4.8878,0.404,ml_model,False,sharp_turn
4.6,8.08,3.728,0.437,ml_model,False,sharp_turn
4.7,8.033,3.7528,0.436,ml_model,False,sharp_turn
4.8,7.911,2.5661,0.484,ml_model,False,sharp_turn
4.9,7.819,2.0495,0.512,ml_model,False,sharp_turn
5.0,7.98,2.4358,0.49,ml_model,False,sharp_turn
5.101,8.133,4.5899,0.412,ml_model,False,sharp_turn
5.2,7.747,2.0303,0.513,ml_model,False,sharp_turn
5.3,7.406,1.6156,0.541,ml_model,False,sharp_turn
5.4,7.21,1.3754,0.561,ml_model,False,sharp_turn
5.5,7.025,2.8083,0.472,ml_model,False,sharp_turn
5.6,7.154,2.3813,0.493,ml_model,False,sharp_turn
5.7,7.258,2.5947,0.482,ml_model,False,sharp_turn
5.801,6.867,3.2662,0.454,ml_model,False,gentle_curve
5.9,6.686,2.5715,0.483,ml_model,False,gentle_curve
6.0,6.849,1.6595,0.538,ml_model,False,gentle_curve
6.1,6.802,1.0126,0.599,ml_model,False,gentle_curve
6.2,7.061,0.5846,0.662,ml_model,False,gentle_curve
6.3,7.497,2.9014,0.468,ml_model,False,gentle_curve
6.401,7.272,1.3,0.568,ml_model,False,gentle_curve
6.5,7.566,1.5256,0.548,ml_model,False,gentle_curve
6.6,7.368,1.4602,0.554,ml_model,False,gentle_curve
6.7,7.464,1.3099,0.567,ml_model,False,gentle_curve
6.801,7.327,1.4866,0.552,ml_model,False,gentle_curve
6.903,7.025,1.1716,0.581,ml_model,False,sharp_turn
7.0,6.978,1.0024,0.6,ml_model,False,sharp_turn
7.1,7.408,1.1445,0.584,ml_model,False,gentle_curve
7.201,7.357,1.3065,0.568,ml_model,False,gentle_curve
7.3,7.554,0.9814,0.602,ml_model,False,gentle_curve
7.4,7.551,1.0664,0.592,ml_model,False,gentle_curve
7.5,7.36,1.5226,0.549,ml_model,False,gentle_curve
7.601,7.369,1.5029,0.55,ml_model,False,gentle_curve
7.7,7.467,1.4901,0.551,ml_model,False,gentle_curve
7.8,7.817,1.8714,0.523,ml_model,False,gentle_curve
7.9,7.653,1.4829,0.552,ml_model,False,gentle_curve
8.0,8.029,2.7056,0.477,ml_model,False,gentle_curve
8.1,7.81,1.9712,0.517,ml_model,False,gentle_curve
8.2,7.31,1.2213,0.576,ml_model,False,sharp_turn
8.3,7.44,1.2412,0.574,ml_model,False,sharp_turn
8.401,7.172,2.2342,0.501,ml_model,False,sharp_turn
8.5,7.672,1.4575,0.554,ml_model,False,sharp_turn
8.601,7.64,1.3573,0.563,ml_model,False,sharp_turn
8.7,7.81,1.6193,0.541,ml_model,False,gentle_curve
8.8,7.855,2.0398,0.512,ml_model,False,gentle_curve
8.901,7.741,1.1559,0.582,ml_model,False,gentle_curve
9.0,8.006,1.5903,0.543,ml_model,False,gentle_curve
9.1,7.745,1.1046,0.588,ml_model,False,gentle_curve
9.2,7.671,0.9094,0.611,ml_model,False,gentle_curve
9.301,7.967,1.8875,0.522,ml_model,False,sharp_turn
9.4,7.643,1.4632,0.554,ml_model,False,gentle_curve
9.501,7.634,1.166,0.581,ml_model,False,gentle_curve
9.601,8.134,1.8953,0.521,ml_model,False,gentle_curve
9.701,8.392,2.2041,0.503,ml_model,False,gentle_curve
9.801,8.112,1.6395,0.539,ml_model,False,gentle_curve
9.901,7.978,1.2694,0.571,ml_model,False,gentle_curve
10.0,7.725,0.9035,0.612,ml_model,False,gentle_curve
10.1,7.797,1.0546,0.594,ml_model,False,gentle_curve
10.2,7.81,1.1464,0.584,ml_model,False,gentle_curve
10.3,8.297,2.0852,0.51,ml_model,False,gentle_curve
10.4,8.366,2.5765,0.483,ml_model,False,gentle_curve
10.5,7.88,2.0501,0.512,ml_model,False,gentle_curve
10.6,7.38,0.8851,0.615,ml_model,False,sharp_turn
10.7,6.88,0.635,0.653,ml_model,False,sharp_turn
10.8,6.828,1.014,0.598,ml_model,False,gentle_curve
10.901,6.798,1.0989,0.589,ml_model,False,gentle_curve
11.0,6.377,1.3642,0.562,ml_model,False,sharp_turn
11.1,6.502,1.2722,0.571,ml_model,False,sharp_turn
11.2,6.799,2.7552,0.475,ml_model,False,sharp_turn
11.3,7.279,2.6048,0.482,ml_model,False,sharp_turn
11.4,7.271,1.1356,0.585,ml_model,False,sharp_turn
11.5,7.227,0.8939,0.613,ml_model,False,sharp_turn
11.6,6.909,1.234,0.575,ml_model,False,sharp_turn
11.7,6.912,1.1301,0.585,ml_model,False,sharp_turn
11.801,7.007,0.7147,0.64,ml_model,False,sharp_turn
11.9,7.174,0.7292,0.637,ml_model,False,sharp_turn
12.0,7.186,0.6738,0.646,ml_model,False,sharp_turn
12.101,7.053,0.8391,0.621,ml_model,False,sharp_turn
