timestamp_s,estimated_speed_mps,speed_variance,speed_confidence,active_source,zupt_flag,maneuver_state
6.001,0.0,0.005,0.99,ml_model,True,stationary
6.1,0.0,0.005,0.99,ml_model,True,stationary
6.2,0.0,0.005,0.99,ml_model,True,stationary
6.3,0.0,0.005,0.99,ml_model,True,stationary
6.4,0.0,0.005,0.99,ml_model,True,stationary
6.5,0.0,0.005,0.99,ml_model,True,stationary
6.6,0.0,0.005,0.99,ml_model,True,stationary
6.7,0.5,1.2167,0.576,ml_model,False,straight
6.8,0.565,1.3311,0.565,ml_model,False,straight
6.9,0.065,0.005,0.99,ml_model,True,stationary
7.0,0.0,0.005,0.99,ml_model,True,stationary
7.1,0.0,0.005,0.99,ml_model,True,stationary
7.199,0.5,1.5537,0.546,ml_model,False,straight
7.3,0.63,1.7379,0.532,ml_model,False,straight
7.399,0.634,1.7238,0.533,ml_model,False,straight
7.5,0.633,1.694,0.535,ml_model,False,straight
7.6,0.371,0.9402,0.607,ml_model,False,straight
7.7,0.456,1.2787,0.57,ml_model,False,straight
7.8,0.493,1.3804,0.561,ml_model,False,straight
7.9,0.352,1.0798,0.591,ml_model,False,straight
8.0,0.227,0.5461,0.67,ml_model,False,straight
8.1,0.272,0.5469,0.67,ml_model,False,straight
8.201,0.225,0.3811,0.708,ml_model,False,straight
8.301,0.449,0.8035,0.626,ml_model,False,straight
8.401,0.422,0.4801,0.684,ml_model,False,straight
8.5,0.727,0.7608,0.632,ml_model,False,straight
8.601,0.621,0.9078,0.612,ml_model,False,straight
8.701,0.638,0.9718,0.603,ml_model,False,straight
8.8,0.667,0.6692,0.647,ml_model,False,gentle_curve
8.9,0.68,0.6483,0.651,ml_model,False,gentle_curve
9.0,0.685,0.6801,0.645,ml_model,False,gentle_curve
9.1,0.888,1.3046,0.568,ml_model,False,gentle_curve
9.2,0.725,0.4679,0.687,ml_model,False,gentle_curve
9.301,0.716,0.463,0.688,ml_model,False,gentle_curve
9.4,0.703,0.4442,0.692,ml_model,False,gentle_curve
9.5,0.718,0.5143,0.677,ml_model,False,gentle_curve
9.6,0.608,0.1517,0.794,ml_model,False,gentle_curve
9.7,0.72,0.2587,0.747,ml_model,False,gentle_curve
9.8,0.772,0.2383,0.754,ml_model,False,gentle_curve
9.9,0.832,0.437,0.694,ml_model,False,gentle_curve
10.001,0.806,0.4308,0.696,ml_model,False,gentle_curve
10.1,0.757,0.1805,0.779,ml_model,False,gentle_curve
10.2,0.814,0.1823,0.778,ml_model,False,gentle_curve
10.3,0.767,0.1687,0.785,ml_model,False,gentle_curve
10.4,0.574,0.1766,0.781,ml_model,False,gentle_curve
10.5,0.511,0.1695,0.785,ml_model,False,gentle_curve
10.604,0.557,0.3479,0.718,ml_model,False,sharp_turn
10.7,0.534,0.3993,0.704,ml_model,False,sharp_turn
10.8,0.54,0.4094,0.701,ml_model,False,sharp_turn
10.9,0.54,0.4094,0.701,ml_model,False,sharp_turn
11.0,0.602,0.4996,0.68,ml_model,False,sharp_turn
11.099,0.588,0.4619,0.688,ml_model,False,sharp_turn
11.203,0.681,0.5185,0.676,ml_model,False,sharp_turn
11.3,0.818,0.7331,0.637,ml_model,False,sharp_turn
11.4,0.916,0.9874,0.602,ml_model,False,sharp_turn
11.5,0.986,1.1921,0.579,ml_model,False,sharp_turn
11.602,0.939,1.0738,0.591,ml_model,False,sharp_turn
11.702,0.999,1.2498,0.573,ml_model,False,sharp_turn
11.8,1.499,1.9559,0.518,ml_model,False,sharp_turn
11.9,1.727,2.1715,0.504,ml_model,False,sharp_turn
12.0,1.924,2.098,0.509,ml_model,False,sharp_turn
12.1,1.891,1.7829,0.529,ml_model,False,sharp_turn
12.2,1.898,1.8296,0.526,ml_model,False,sharp_turn
12.301,1.929,1.7929,0.528,ml_model,False,sharp_turn
12.399,1.968,1.8162,0.527,ml_model,False,sharp_turn
12.5,2.309,1.6403,0.539,ml_model,False,sharp_turn
12.6,2.528,1.5654,0.545,ml_model,False,sharp_turn
12.7,2.394,1.3687,0.562,ml_model,False,sharp_turn
12.8,2.414,1.3389,0.565,ml_model,False,sharp_turn
12.899,2.521,1.7147,0.534,ml_model,False,sharp_turn
13.0,2.355,1.5577,0.546,ml_model,False,sharp_turn
13.1,2.172,1.655,0.538,ml_model,False,sharp_turn
13.201,2.18,1.9761,0.516,ml_model,False,sharp_turn
13.3,2.171,1.9847,0.516,ml_model,False,sharp_turn
