timestamp_s,estimated_speed_mps,speed_variance,speed_confidence,active_source,zupt_flag,maneuver_state
1.899,7.643,6.722,0.367,ml_model,False,straight
1.999,7.574,7.9395,0.347,ml_model,False,straight
2.1,7.485,7.9712,0.347,ml_model,False,straight
2.2,7.774,8.7741,0.336,ml_model,False,straight
2.3,8.184,11.2844,0.309,ml_model,False,straight
2.4,8.029,8.0181,0.346,ml_model,False,straight
2.499,8.529,12.6324,0.297,ml_model,False,straight
2.599,8.427,17.9966,0.3,physics_fallback,False,straight
2.7,8.367,16.1708,0.3,physics_fallback,False,straight
2.8,7.922,10.8197,0.313,ml_model,False,straight
2.899,7.422,12.7032,0.296,ml_model,False,straight
2.999,6.922,10.7583,0.314,ml_model,False,straight
3.1,6.422,12.3304,0.299,ml_model,False,straight
3.199,5.922,8.048,0.346,ml_model,False,straight
3.3,5.422,8.0652,0.346,ml_model,False,straight
3.4,4.922,6.7055,0.367,ml_model,False,straight
3.5,4.422,5.9882,0.38,ml_model,False,straight
3.6,3.972,5.7369,0.385,ml_model,False,straight
3.699,4.364,7.507,0.354,ml_model,False,straight
3.8,4.864,12.5185,0.298,ml_model,False,straight
3.9,5.364,11.7422,0.304,ml_model,False,straight
4.0,5.864,10.7351,0.314,ml_model,False,straight
4.1,6.364,6.5872,0.369,ml_model,False,straight
4.199,6.864,7.343,0.356,ml_model,False,straight
4.299,7.364,4.8854,0.404,ml_model,False,straight
4.403,7.362,7.4996,0.354,ml_model,False,straight
4.5,7.862,3.5997,0.442,ml_model,False,straight
4.6,8.362,4.6899,0.409,ml_model,False,straight
4.7,8.252,8.4646,0.34,ml_model,False,straight
4.799,7.752,11.6278,0.306,ml_model,False,straight
4.9,8.252,8.4382,0.341,ml_model,False,straight
4.999,8.752,7.0874,0.36,ml_model,False,straight
5.1,9.243,7.2938,0.357,ml_model,False,straight
5.199,8.743,15.8594,0.274,ml_model,False,straight
5.3,8.243,11.4496,0.307,ml_model,False,straight
5.4,8.743,9.3006,0.33,ml_model,False,straight
5.5,8.243,13.471,0.29,ml_model,False,straight
5.599,8.743,9.1987,0.331,ml_model,False,straight
5.7,9.243,9.2171,0.331,ml_model,False,straight
5.8,8.743,15.3152,0.277,ml_model,False,straight
5.9,8.243,15.3811,0.277,ml_model,False,straight
5.999,7.743,12.9991,0.294,ml_model,False,straight
6.099,7.243,12.8608,0.295,ml_model,False,straight
6.2,6.743,12.0259,0.302,ml_model,False,straight
6.3,6.243,15.0756,0.279,ml_model,False,straight
6.399,6.297,12.4001,0.299,ml_model,False,straight
6.499,5.797,0.005,0.99,ml_model,True,stationary
6.6,5.297,0.005,0.99,ml_model,True,stationary
6.7,4.797,0.005,0.99,ml_model,True,stationary
6.799,5.297,10.8194,0.313,ml_model,False,straight
6.9,5.797,15.4035,0.277,ml_model,False,straight
7.0,6.297,11.2564,0.309,ml_model,False,straight
7.099,6.797,2.9576,0.466,ml_model,False,straight
7.2,7.297,2.9304,0.467,ml_model,False,straight
7.299,7.797,3.3308,0.451,ml_model,False,straight
7.4,8.297,2.216,0.502,ml_model,False,straight
7.5,8.797,2.0382,0.512,ml_model,False,straight
7.6,9.297,2.2451,0.5,ml_model,False,straight
7.7,9.797,3.386,0.449,ml_model,False,straight
7.8,10.297,5.6194,0.388,ml_model,False,straight
7.9,10.797,2.111,0.508,ml_model,False,straight
7.999,11.297,3.8522,0.433,ml_model,False,straight
8.1,11.203,2.9156,0.468,ml_model,False,straight
8.199,11.253,3.1663,0.457,ml_model,False,straight
8.3,11.46,4.1193,0.425,ml_model,False,straight
8.4,11.45,4.4937,0.414,ml_model,False,straight
8.499,11.359,5.7082,0.386,ml_model,False,straight
8.599,11.131,3.8172,0.434,ml_model,False,straight
8.699,11.053,3.3462,0.451,ml_model,False,straight
8.799,11.369,4.6436,0.41,ml_model,False,straight
8.9,11.339,5.0528,0.4,ml_model,False,straight
9.0,11.012,1.7432,0.532,ml_model,False,straight
9.1,10.956,3.049,0.462,ml_model,False,straight
9.2,10.456,7.6195,0.352,ml_model,False,straight
9.3,9.956,5.8374,0.383,ml_model,False,straight
9.4,9.456,0.005,0.99,ml_model,True,stationary
9.5,8.956,0.005,0.99,ml_model,True,stationary
9.6,8.456,10.414,0.317,ml_model,False,straight
9.699,7.956,8.5906,0.339,ml_model,False,straight
9.799,7.456,9.2909,0.33,ml_model,False,gentle_curve
9.9,6.956,14.558,0.282,ml_model,False,gentle_curve
9.999,6.508,12.6189,0.297,ml_model,False,gentle_curve
10.1,6.579,16.4821,0.3,physics_fallback,False,gentle_curve
10.199,6.361,13.3481,0.291,ml_model,False,gentle_curve
10.3,6.398,16.2774,0.3,physics_fallback,False,gentle_curve
10.4,5.611,15.5671,0.275,ml_model,False,gentle_curve
10.5,6.111,14.1534,0.285,ml_model,False,gentle_curve
10.599,5.804,13.7074,0.288,ml_model,False,gentle_curve
10.7,6.304,13.7169,0.288,ml_model,False,gentle_curve
10.799,5.85,10.7493,0.314,ml_model,False,straight
10.9,5.385,10.4307,0.317,ml_model,False,straight
11.0,5.416,10.174,0.32,ml_model,False,straight
11.099,5.722,10.8696,0.313,ml_model,False,straight
11.2,5.837,10.0803,0.321,ml_model,False,straight
11.299,6.171,12.0146,0.302,ml_model,False,straight
11.399,6.151,12.5269,0.298,ml_model,False,straight
11.499,6.651,11.2431,0.309,ml_model,False,straight
11.599,7.151,9.1958,0.331,ml_model,False,gentle_curve
11.699,7.192,11.8537,0.303,ml_model,False,gentle_curve
11.8,7.277,13.6337,0.289,ml_model,False,gentle_curve
11.9,6.777,8.0382,0.346,ml_model,False,gentle_curve
11.999,6.358,8.2534,0.343,ml_model,False,gentle_curve
12.1,6.215,7.69,0.351,ml_model,False,gentle_curve
12.2,6.008,7.2818,0.357,ml_model,False,gentle_curve
12.3,6.508,8.8232,0.336,ml_model,False,gentle_curve
12.399,6.366,8.0557,0.346,ml_model,False,gentle_curve
12.5,6.291,6.6692,0.367,ml_model,False,gentle_curve
12.599,6.791,10.5204,0.316,ml_model,False,straight
12.7,6.864,8.1743,0.344,ml_model,False,straight
12.8,7.364,9.1446,0.332,ml_model,False,straight
12.901,7.864,4.4301,0.416,ml_model,False,straight
12.999,8.364,4.1005,0.426,ml_model,False,straight
13.1,8.864,3.4979,0.445,ml_model,False,straight
13.199,9.069,3.5338,0.444,ml_model,False,straight
13.3,8.569,7.1844,0.359,ml_model,False,straight
13.399,8.367,7.3499,0.356,ml_model,False,straight
13.499,8.867,4.0373,0.427,ml_model,False,straight
13.6,9.367,5.2352,0.396,ml_model,False,straight
13.7,9.867,4.9059,0.404,ml_model,False,straight
13.8,9.767,4.0985,0.426,ml_model,False,straight
13.9,9.781,3.0395,0.462,ml_model,False,straight
13.999,9.281,8.2214,0.343,ml_model,False,straight
14.1,9.091,6.7312,0.366,ml_model,False,straight
14.199,9.591,11.9708,0.302,ml_model,False,straight
14.299,9.091,5.973,0.38,ml_model,False,straight
14.399,8.591,3.5909,0.442,ml_model,False,straight
14.499,8.091,3.9594,0.43,ml_model,False,straight
14.599,8.106,3.9785,0.429,ml_model,False,straight
14.7,8.381,4.7192,0.408,ml_model,False,straight
14.799,8.336,5.2744,0.395,ml_model,False,straight
14.9,8.378,6.3122,0.374,ml_model,False,straight
15.0,8.301,6.5781,0.369,ml_model,False,straight
15.099,8.337,5.5255,0.39,ml_model,False,straight
15.2,8.116,4.8998,0.404,ml_model,False,straight
15.299,7.899,5.5172,0.39,ml_model,False,straight
15.4,8.267,6.1157,0.378,ml_model,False,straight
15.5,8.21,6.2399,0.375,ml_model,False,straight
15.6,8.227,5.4856,0.39,ml_model,False,straight
15.699,8.211,5.9573,0.381,ml_model,False,straight
15.8,8.118,5.53,0.389,ml_model,False,straight
15.9,8.132,5.449,0.391,ml_model,False,straight
16.0,8.22,5.9938,0.38,ml_model,False,straight
16.099,8.225,7.4481,0.355,ml_model,False,straight
16.2,8.404,6.0179,0.379,ml_model,False,straight
16.3,8.674,7.6859,0.351,ml_model,False,straight
16.399,9.059,9.0619,0.333,ml_model,False,straight
16.5,9.415,9.2653,0.33,ml_model,False,straight
16.6,9.096,8.378,0.341,ml_model,False,straight
16.7,8.596,10.7242,0.314,ml_model,False,straight
16.8,8.096,8.3865,0.341,ml_model,False,straight
16.899,8.596,10.3993,0.317,ml_model,False,gentle_curve
17.0,8.725,10.5208,0.316,ml_model,False,gentle_curve
17.099,8.225,13.3573,0.291,ml_model,False,gentle_curve
17.203,7.725,11.1647,0.31,ml_model,False,gentle_curve
17.3,7.775,31.8583,0.3,physics_fallback,False,gentle_curve
17.4,8.725,8.1213,0.345,ml_model,False,gentle_curve
17.5,9.225,7.828,0.349,ml_model,False,gentle_curve
17.6,9.725,8.6573,0.338,ml_model,False,gentle_curve
17.699,10.225,8.528,0.339,ml_model,False,gentle_curve
17.799,10.725,8.3148,0.342,ml_model,False,gentle_curve
17.899,11.225,6.603,0.369,ml_model,False,gentle_curve
18.0,11.725,9.2512,0.33,ml_model,False,gentle_curve
