timestamp_s,estimated_speed_mps,speed_variance,speed_confidence,active_source,zupt_flag,maneuver_state
1.9,0.0,19.064,0.3,physics_fallback,False,gentle_curve
1.999,0.0,18.8088,0.3,physics_fallback,False,gentle_curve
2.099,0.0,18.0843,0.3,physics_fallback,False,gentle_curve
2.2,0.0,17.1758,0.3,physics_fallback,False,gentle_curve
2.299,2.847,14.3775,0.283,ml_model,False,gentle_curve
2.399,2.347,10.5596,0.316,ml_model,False,gentle_curve
2.499,1.847,4.1708,0.423,ml_model,False,straight
2.6,1.347,3.3642,0.45,ml_model,False,straight
2.699,1.209,7.2323,0.358,ml_model,False,straight
2.8,0.872,3.5208,0.444,ml_model,False,gentle_curve
2.9,0.785,2.8245,0.472,ml_model,False,gentle_curve
2.999,1.285,6.8367,0.365,ml_model,False,gentle_curve
3.1,1.785,11.6845,0.305,ml_model,False,gentle_curve
3.2,2.285,9.5185,0.327,ml_model,False,straight
3.3,2.785,10.7416,0.314,ml_model,False,straight
3.4,2.884,9.3878,0.329,ml_model,False,straight
3.499,2.881,8.9097,0.334,ml_model,False,straight
3.6,2.381,7.8908,0.348,ml_model,False,gentle_curve
3.7,1.881,4.6736,0.41,ml_model,False,gentle_curve
3.799,1.381,5.4795,0.391,ml_model,False,gentle_curve
3.899,0.881,1.5569,0.546,ml_model,False,gentle_curve
4.0,0.453,1.7719,0.53,ml_model,False,gentle_curve
4.1,0.207,0.4008,0.703,ml_model,False,gentle_curve
4.199,0.396,1.292,0.569,ml_model,False,gentle_curve
4.299,0.418,1.1421,0.584,ml_model,False,gentle_curve
4.4,0.38,0.8944,0.613,ml_model,False,gentle_curve
4.5,0.88,5.0517,0.4,ml_model,False,gentle_curve
4.599,0.762,3.6011,0.441,ml_model,False,straight
4.7,0.57,2.1005,0.509,ml_model,False,straight
4.799,0.576,3.239,0.455,ml_model,False,straight
4.899,0.463,1.9174,0.52,ml_model,False,straight
5.0,0.339,0.8443,0.62,ml_model,False,straight
5.099,0.379,0.7826,0.629,ml_model,False,straight
5.199,0.0,0.005,0.99,ml_model,True,stationary
5.3,0.344,0.251,0.75,ml_model,False,straight
5.4,0.338,0.2739,0.741,ml_model,False,straight
5.5,0.313,0.2784,0.74,ml_model,False,straight
5.6,0.3,0.1898,0.775,ml_model,False,straight
5.7,0.0,0.005,0.99,ml_model,True,stationary
5.799,0.0,0.005,0.99,ml_model,False,stationary
5.899,0.0,0.005,0.99,ml_model,True,stationary
5.999,0.314,0.5798,0.663,ml_model,False,straight
6.1,0.332,0.3005,0.732,ml_model,False,straight
6.199,0.393,0.2536,0.749,ml_model,False,straight
6.301,0.321,0.1995,0.771,ml_model,False,straight
6.399,0.447,0.2998,0.733,ml_model,False,straight
